GB_ACC	GENE_SYMBOL	HW1	HW2	HW3	HW4	HW5	HW6	WW41	WW42	WW45	WW46	WW47	WW48	LE100	LE101	LE102	LE4D51	LE4D53	LE4D56	WW37	WW38	WW39	WW40	WW43	WW44	HW4D12	HW4D2	HW4D6	LE4D57	LE52	LE53	LE54	LE55	WW1	WW2	WW3	WW4	HW4D16	HW4D20	LE10D32	LE10D27	LE10D28	LE10D35	LE10D37	LE80	LE81	WW49	WW50	WW51	HW4D3	HW4D4	LE82	LE83	LE88	LE89	LE90	LE91	WW25	WW26	WW27	WW28	HW10D10	HW10D11	HW10D14	HW10D17	HW10D5	HW10	HW4D15	HW4D19	HW4D7	HW7	HW8	HW9	HW10D13	HW10D18	HW10D1	HW10D8	HW10D9	LE64	LE65	LE66	LE67	LE68	LE69	LE70	LE71	LE72	LE73	LE74	LE75	LE76	LE77	LE78	LE79	LE84	LE85	LE86	WW10	WW11	WW12	WW13	WW14	WW15	WW16	WW17	WW18	WW19	WW8	WW9	WW20	WW21	WW22	WW23	WW24	WW29	WW30	WW31	WW32	WW33	WW34	WW35	HW11	HW12	HW13	LE56	LE57	LE58	LE59	LE60	LE61	LE62	LE63	WW36	LE87	LE92	LE93	LE94	LE95	LE96	LE97	LE98	LE99	WW5	WW6	WW7	HW14	LE10D29	LE10D30	LE10D33	LE10D34	LE10D38	LE4D50	LE4D52	LE4D55	LE4D58
NM_001024285.1	Ahrr	13.04093001	1.42209143	1.289200497	9.963823967	7.552195934	5.450164361	29.70155111	30.18524424	18.1143977	22.44146465	28.86779083	7.685034331	15.0877747	2.460686913	7.246265492	17.80554754	12.33521465	8.391489726	55.67742297	38.5491127	24.33998335	31.24949264	18.13679036	26.64528285	7.744586436	4.512578808	11.54192426	8.86318484	4.989007904	7.049195449	10.14106719	9.941130409	8.63938793	6.774993069	2.845421363	8.779915746	4.024827899	4.182111663	7.00617563	5.629557836	1.582546229	11.49186064	5.564835688	54.08736863	39.79410711	8.632226856	4.506592426	8.813061455	130.0790542	159.6052443	69.15260532	66.62982845	37.83987169	25.73479907	38.79401756	26.34446242	45.56782755	33.06824394	28.38203303	41.44335265	9.897117783	3.123838247	6.4547992	4.503942994	3.189172313	5.645221125	22.87681741	48.90822436	110.9862161	4.869810618	5.446957438	3.495225285	188.4756666	219.5176064	95.41412471	150.1917293	185.5212509	4.312449533	9.822334893	13.51093881	12.53682789	34.70097285	23.88930108	9.679269216	18.74540162	42.35385688	28.77736933	47.01689475	23.73007989	56.26392856	29.40738082	34.09936836	44.32694443	25.60748041	38.03374095	31.22251556	11.81600851	6.124853888	21.35288614	25.2745482	11.07549987	16.00969212	13.85053525	33.41682865	31.38789558	27.62564998	5.313456645	11.06052233	22.427872	32.99980096	38.39528895	44.68561618	18.59789888	31.51148315	26.37351614	31.18620157	35.6104724	41.73201907	533.7890001	53.93293434	122.4675259	503.4512471	186.8658849	9.871319609	5.14998841	3.202965515	8.764352777	11.00547375	9.805735042	6.839743421	3.876103493	29.71306104	60.9020011	34.66358956	30.52521804	57.38675616	36.78633882	29.96214451	33.27978202	41.26134526	33.95767282	21.72089894	5.212333427	11.54108486	154.9011536	164.3247341	162.8159466	250.1623504	211.5620307	272.6826012	105.9765259	259.0782216	187.0731611	237.5814537
NM_031972.1	Aldh3a1	5.216372003	8.532548583	7.73520298	307.4551395	65.45236477	81.75246541	4193.714131	6712.369704	2929.356885	1111.974573	2281.550917	2878.045357	68.64937488	228.8438829	86.04940272	194.6739865	167.9486918	375.0350409	12074.67481	6707.54561	11279.14828	10186.21855	3657.586056	3640.811448	7.744586436	5.41509457	179.861653	48.25511746	8.980214228	42.2951727	18.02856389	14.52934444	6.911510344	9.854535374	3.79389515	7.023932597	34.21103714	227.9250856	39.7016619	18.29606297	7.121458031	19.70033252	13.91208922	26589.55452	33812.20008	101.6684496	4.506592426	2.711711217	15987.28132	21103.36007	18213.30105	28977.3124	9979.215051	8692.423287	6876.94926	9998.998221	12594.94753	15527.04363	14946.18132	17468.37314	106.6689361	23.42878686	97.74410217	66.80848774	128.62995	9.879136969	3350.30991	12817.6229	18785.69769	121.7452654	8.170436158	4.369031606	11089.29279	24805.48952	13697.08442	16683.59275	17486.39352	10.34987888	19.64466979	18.57754086	20.59621725	841.4985915	414.7182667	198.0527393	562.3620486	13269.01753	10740.86533	19003.96765	7153.195283	22971.43675	26427.05588	24098.63566	18456.39058	21686.33497	17479.07382	13034.65685	20.67801489	11.024737	3013.26905	6311.415751	23.15786337	22.01332667	39.57295786	755.7344325	491.7436974	489.7274315	10.62691329	3.3181567	368.4578971	5050.28954	6634.705931	6369.296221	4321.354647	8822.003303	7505.347463	19761.6564	18780.74732	10520.50739	23907.73268	24715.11289	18312.49711	8809.793167	21353.41093	12.06494619	9.012479717	26.69137929	23.37160741	11.00547375	16.66974957	12.70238064	20.34954334	15346.79603	13092.7122	5227.78284	4856.164035	4730.5299	5355.378939	1071.446288	4458.159599	3814.247299	2822.125166	59.44667078	96.4281684	4.616433944	23426.45249	43507.13553	49780.97569	50089.52464	49191.71504	70602.46193	20714.58692	37954.43923	56339.19459	49857.81517
NM_053618.1	Bbs2	33.90641802	45.50692578	32.23001242	69.74676777	52.86537154	47.96144637	90.55350948	73.39157423	62.10650639	74.05683333	52.75837635	42.26768882	51.29843398	39.37099061	36.23132746	109.2073583	74.01128793	49.70343915	190.4753944	139.5743736	129.0019117	123.8819172	57.86499782	99.12045219	80.54369893	31.58805166	47.12952404	83.70785683	83.81533279	43.30220062	78.87496703	54.29386608	48.38057241	36.95450765	48.37216317	55.3134692	29.18000226	46.0032283	51.37862128	57.70296782	37.18983638	57.45930318	53.79341165	130.6260978	117.9611032	60.42558799	43.93927615	42.03152386	113.112221	106.4034962	124.2877906	125.4861769	92.49746414	63.34719772	104.0815105	124.0739198	123.0331344	83.17164384	102.3780477	152.3652671	35.18975212	11.71439343	19.3643976	35.28088679	26.57643594	42.33915844	37.74674873	59.91257485	71.71417043	29.21886371	30.86609215	34.07844653	79.49313827	85.2382195	79.94156394	51.70534942	89.37520114	36.22457607	41.07521864	69.24356138	43.87889762	123.9320459	112.7575011	36.48339935	92.6855969	138.2073225	127.7715198	112.3181375	91.12350679	145.1609357	122.1537357	66.45005116	105.0355857	110.9657484	124.3806123	90.69397377	35.44802553	26.94935711	80.38733605	111.930142	55.37749937	80.04846061	47.48754943	88.68312218	102.3012893	99.20119766	38.25688784	38.71182817	91.31347884	117.4792914	93.42853645	111.7140405	75.72001686	111.5021712	94.3894262	93.55860472	104.6732068	107.6955331	216.522862	172.8619691	116.7043482	120.7317139	117.3343928	64.7119841	78.53732325	59.78868962	40.90031296	51.02537828	62.75670427	58.62637218	73.64596636	102.5100606	170.5256031	110.4099519	127.4096057	144.2423871	128.1588578	73.1076326	93.18338966	75.24127666	99.44747041	58.30346558	54.72950099	27.69860367	112.6553844	127.1354522	113.9711627	159.0944772	147.7897439	124.5877402	145.3080201	129.0188734	144.8308344	165.3273002
NM_001013164.3	Ccbl1	237.3449262	243.1776346	175.3312676	276.1402642	318.4509286	244.1673634	841.7854241	703.730498	565.4279853	524.0081995	654.0047785	524.5035931	237.6324515	312.5072379	279.8870046	485.4979296	374.800753	267.882172	1695.23101	1635.01409	1053.921279	1056.902483	943.9767555	1086.061729	573.0993962	241.8742241	318.3647441	371.268965	560.7644885	327.2840744	406.7694728	320.4102801	396.547906	396.6450488	294.0268741	361.7325287	290.7938157	300.0665118	319.9486871	216.7379767	178.8277239	201.9284083	289.3714558	1182.778495	1461.012218	352.0030285	402.213374	460.9909069	990.863056	1218.424348	963.4640012	1317.049609	654.8400018	583.981979	720.0548138	733.395841	909.0781596	702.4496667	705.4962497	1168.946329	282.6176967	101.524743	192.7218618	177.9057483	201.9809131	235.687982	346.5837838	854.6712208	997.1684651	180.1829929	125.2800211	203.5968728	974.4320175	1338.123281	920.6173654	870.373382	1081.981602	202.685128	258.0595258	211.1084189	223.8719266	490.7709017	575.2543699	194.3299435	463.4279845	1096.741978	827.637142	856.7523044	528.70618	1298.571471	1200.047348	749.3117611	934.7203499	1030.701086	1167.738641	716.6310714	265.8601915	205.7950906	586.5763427	775.0861449	266.8188606	418.2532067	176.0996625	476.8324395	466.1683751	522.3759269	250.7951536	355.0427669	371.6618788	630.9561944	802.4615391	726.141263	684.1369945	993.8236995	920.2969055	1113.607281	878.3916526	818.4860515	2354.686124	1584.798532	1174.247455	1884.622055	1071.943836	406.9177305	361.7866858	414.2502066	404.1340447	282.1403269	293.1914778	279.452374	315.9024347	1126.125013	711.3353728	703.5424843	810.9090532	992.6357823	634.8610087	324.7896464	456.5986093	466.0104877	561.5143756	313.2382268	303.6184221	226.2052633	934.1008958	1036.975559	1085.778844	1281.533444	1237.99217	1211.792077	1702.179664	1616.897817	1628.139964	2116.189443
NM_053352.1	Cxcr7	23.47367402	27.01973718	15.47040596	68.32336434	33.98488171	40.33121627	42.0168284	34.32831698	37.52268095	41.5167096	74.65807974	47.07083528	51.29843398	59.05648591	35.32554428	175.6814024	74.01128793	60.67692571	39.56027422	41.2076722	47.46296753	41.29397241	37.13723741	31.97433942	55.76102234	18.95283099	45.20587	74.84467199	54.87908695	46.32328438	51.83212119	50.47035438	24.1902862	24.63633843	18.02100196	29.85171354	25.15517437	33.45689331	49.82169337	63.33252566	25.32073966	52.53422005	66.77802825	213.2879253	228.8161159	33.56977111	47.31922047	15.5923395	39.58927735	107.4466677	135.5017266	153.2486054	73.57752829	82.15339704	98.40433723	113.026242	28.47989222	25.05169995	14.19101652	52.41365188	20.89391532	10.1524743	14.75382674	29.27562946	13.81974669	19.75827394	22.87681741	34.23575706	52.9318877	27.5955935	14.52521984	14.85470746	129.4968865	294.2470043	123.7804861	68.9404659	143.5419897	25.8746972	30.35994421	27.02187761	33.13304514	90.47039349	50.64531828	21.59221594	88.51995209	90.28058967	116.2605721	107.094038	51.25697257	178.9192928	113.1053109	110.1671901	116.5991364	141.9081206	100.7380166	84.74682795	36.92502659	24.49941555	135.6536296	97.48754307	25.17159062	32.01938424	33.63701418	32.13156601	30.22538093	25.11422726	12.75229595	17.69683573	11.213936	31.67980893	25.5968593	39.89787159	33.21053371	39.995344	41.64239391	57.17470288	25.89852538	28.27007744	87.2105972	44.25266408	106.6187873	53.12195414	99.95151983	44.96934489	59.22486671	56.5857241	51.61229969	40.01990453	48.04810171	42.99267293	75.58401811	25.25610188	69.42828125	88.58472887	82.28537037	145.7933805	60.51946065	141.4213221	106.4953025	121.3568978	127.3412731	28.58013018	39.0925007	12.69519335	77.45057679	3898.820534	4833.598416	5066.884798	4468.109108	4213.651401	1556.871644	1017.58434	1725.900777	1652.048356
NM_053489.1	Col18a1	1694.016808	1918.40134	917.9107537	2368.543297	1679.104896	2396.982286	2149.378101	1551.284807	1326.232689	1151.247136	1784.825826	994.2513166	1672.479825	2335.19188	1522.621537	5072.206976	2300.991964	2326.379152	3226.360142	2411.313463	2401.139357	2696.384793	1779.996426	2235.006325	4845.013274	1590.232772	2806.611248	3097.190703	3676.898826	2446.070821	3330.777179	2763.634254	3022.057898	2354.618046	2219.428663	2932.491859	2672.485725	2904.47655	3539.675621	2736.668803	1941.784223	2982.958682	3354.668447	1763.452321	1858.953289	2753.680367	3668.366235	3052.708902	1191.071687	1196.517746	880.2939759	1335.928061	1099.458494	878.9423684	1036.084128	1303.625979	1516.269462	827.7081665	1200.15454	1705.272069	1837.564868	602.9007818	1392.392399	1284.37441	936.5536025	1954.657815	565.0573901	1140.784333	1316.467272	1551.846317	944.1392893	1873.440753	1342.408319	1563.479122	1579.490578	688.1735792	1504.482553	953.9138366	1380.484522	2377.92523	1277.860957	2068.425846	1642.628342	644.0436825	1519.418942	2228.035787	1733.548729	1507.152682	1097.278894	2111.0226	1794.981283	893.5783196	1254.645253	1321.986176	1253.057574	773.1289567	1264.312911	948.1273819	1649.196441	1264.93096	1143.797078	1364.826253	819.1602276	1188.867942	943.9618967	1220.551445	765.1377569	1267.535859	845.8511724	1151.033058	1045.631702	1155.442361	706.7201574	858.0819259	827.2955591	879.7107693	817.96176	860.2180706	2515.57464	1103.55081	1484.018256	1742.158632	1371.798395	2374.600773	2290.457345	2265.564274	1746.053837	1438.715568	1569.89818	1641.538421	1789.790788	1044.414096	649.2153317	1046.32687	1199.773787	1324.548372	841.3391686	877.2915911	957.1265309	993.9129932	1394.690134	1339.836503	1261.384689	622.064474	1382.375446	1196.975958	1137.676427	1235.450906	1043.638534	932.0573393	1635.534632	1327.645826	1320.37444	1233.219195
NM_022245.1	Cyb5a	23772.31131	26786.51418	23226.23615	31307.75831	27014.20486	21968.52251	22039.27535	15650.7532	20003.4706	18895.71323	18608.77523	15902.25729	23085.80407	24597.02638	13879.31577	43489.45635	32457.74521	15173.74992	50807.11366	38004.108	30134.11638	36613.24484	19288.04472	23193.12	37595.32039	23346.27772	27180.2698	22074.25424	24644.70125	20543.36959	23793.1972	23622.41996	25409.30384	16606.12392	22362.16649	26500.4197	25084.73988	25292.36581	28518.24867	21970.75684	15345.95078	21932.21603	25146.565	32463.64686	39907.80456	28797.10879	21279.00279	20959.49392	39180.94223	36656.00443	23313.77294	33141.67667	16231.20274	14730.20307	23995.51916	21945.78702	34696.48309	30708.3738	28940.5509	43110.83813	21706.57866	8261.771205	18140.75209	14695.61533	13928.17855	21048.20697	21421.85183	23150.708	31853.04403	17597.8723	17300.44465	22177.20443	37625.89735	34774.85826	35044.06075	22592.77554	31973.30112	20082.21498	28688.3614	29775.57583	26706.12987	56894.72362	52423.63785	15189.75164	43849.66003	43564.28553	37135.46848	40489.38253	29552.4923	37170.20177	39615.13513	29505.5714	32302.77894	29840.18352	33576.59769	20929.49293	29788.15745	21808.15475	19419.82192	22798.84603	26220.74252	41156.91602	27627.86053	39361.16836	42408.53447	39209.5873	14990.32389	24720.26741	32672.60353	40221.47741	38777.962	45242.59047	36168.92805	36657.55075	32628.20371	32538.90307	38581.24908	38773.0843	62878.84058	53406.05106	44236.71116	26975.08685	40810.64012	20889.90592	24062.03335	24309.44061	23398.87428	22821.35056	28065.97484	22424.58736	32543.76493	33624.78552	28504.57259	22138.4792	20960.20733	25507.63762	22595.11863	16825.54187	22518.43171	21736.23397	20736.01036	28560.6957	24163.07469	23776.94303	38403.75115	21777.35161	23302.01476	28107.05671	24946.09897	27730.17504	17061.12813	18138.59694	18916.1139	19653.12973
NM_012540.2	Cyp1a1	18.25730201	68.26038866	32.23001242	9945.319722	6885.085294	7172.416299	79085.81304	62965.23574	45112.61358	29840.41554	46126.74798	29702.65769	485.8263453	1040.870564	409.4140003	1003.045845	31719.53005	742.9695904	206645.2902	141350.2913	111788.6755	126179.871	79053.08725	95413.56044	71.25019521	18.95283099	921.4302864	157.5677305	61.86369801	270.8905108	65.35354411	272.9987351	26.78210258	22.17270459	165.9829128	128.1867699	204.2600159	915.8824543	775.350103	161.1460931	438.3653054	128.8730086	253.2000238	143421.3323	161105.0214	1044.49945	123.9312917	143.0427667	95683.88999	90587.97259	98435.93019	130580.0273	84787.59028	67276.70358	86128.39616	82991.00538	110375.5311	85341.12106	93229.91029	124954.1461	420.0776659	82.78171356	795.7845299	418.8666984	840.8784331	77.62179047	38739.60261	69139.11137	87450.3084	826.2445348	30.86609215	59.41882984	78335.35918	92059.61235	87517.9612	62064.88551	88156.4484	13484.1672	18526.70949	11198.03497	12603.98947	104790.7414	85455.85223	31022.8024	81892.41121	143138.2031	131659.918	118112.9697	74371.96879	149219.8155	143384.7336	88410.91873	102111.9346	109267.1189	115535.1977	77581.26063	737.0235308	548.7869084	56175.67527	82426.31944	9267.172803	14269.63871	10244.44947	75780.37053	70346.08657	73898.6137	98.83029359	357.2548714	55102.07751	80039.03725	85122.35561	97071.52158	64231.82904	85888.18328	82457.49227	74544.11773	81019.22024	84660.80476	173624.27	111547.1372	103959.0808	94045.17589	92869.44765	92.13231635	92.69979138	65.12696548	119.779488	247.1229105	670.7122769	666.3864304	706.4198616	91110.64472	95260.47404	80798.25958	97236.09129	99803.32394	85823.71513	32828.92249	48884.00621	50042.73039	59857.675	345.2479726	465.2007584	100.4074383	87084.95914	99395.70733	104798.5193	126798.2983	117273.1863	117899.9643	150263.7883	110171.7131	122822.5822	132021.8094
NM_012541.2	Cyp1a2	39811.35113	45367.56081	21537.3835	101827.4341	67209.50902	70516.40656	228664.9977	155278.815	135548.7441	91325.54038	141454.166	89331.7997	48370.6513	61507.33008	34166.1418	99335.9627	263906.2244	37136.86053	803958.5446	506264.1678	466215.343	498777.6162	212645.2304	280889.2427	77521.7613	27467.16469	56444.81875	46664.66818	68566.92904	49123.82903	58306.6292	54514.10035	50391.82192	34312.87626	47524.2276	54272.17119	40197.96864	51081.35738	62796.35217	57510.85916	37227.02622	51432.64313	57113.76361	627555.3279	826397.1163	50937.81154	51557.67065	50988.30601	682080.2661	664305.1922	583236.8113	760264.1106	316802.7636	249768.1026	315909.147	325772.223	567380.9696	434634.9694	581420.1377	723692.3564	29675.95783	12490.66723	25950.13701	23099.2223	19699.51738	39207.47202	232928.3234	491269.664	600459.3341	37821.38416	15691.77655	36893.85049	555698.0652	645639.8127	645279.2785	430752.3417	632366.1107	87036.44394	130885.2913	105203.7695	108594.0032	536371.6979	468000.0082	187107.7195	438050.8763	689142.9491	604942.8939	560565.4578	371544.7085	709700.8168	701122.8562	421559.1246	512298.0603	485033.4203	532161.9358	346874.7139	59455.20082	46194.873	171338.0705	273416.4518	129873.3252	124164.1679	94434.92798	389957.6819	385098.0909	431291.6475	24096.52588	63867.88016	280064.8476	434297.1806	425652.733	485405.4854	327386.7845	423584.6284	409856.9336	420167.7955	457987.3647	413428.3434	1118997.669	596769.3014	777481.4864	685414.4645	754086.4142	52560.38966	54588.58965	46746.21404	46825.01544	46884.31865	54826.80634	59479.38589	68084.72688	479503.4364	545797.6436	264688.6022	321948.1475	361167.4274	288288.6041	131574.5629	162454.5903	162870.6654	192191.9388	63051.1968	55682.05492	47529.64978	733002.8202	262055.5724	381189.7823	432638.2297	496431.8234	423528.9706	688829.9379	726251.4003	838412.4243	882852.6819
NM_012940.1	Cyp1b1	6.520465004	12.79882287	3.86760149	18.50424451	2.517398645	9.810295849	53.60767761	39.65512478	33.6410243	33.66219697	56.7401406	23.05510299	57.33354386	71.35992048	23.55036285	179.2425119	477.2779209	98.11587988	183.1494177	195.404123	126.5679134	116.0695441	63.04693793	57.55381095	7.744586436	4.512578808	100.9918372	17.72636968	4.989007904	20.14055843	4.507140973	6.882321052	3.455755172	10.47044383	7.587790301	8.779915746	25.15517437	79.4601216	17.90467105	9.851726213	5.538911802	5.745930318	6.492308302	3055.426069	5807.097202	12.46877213	5.633240532	2.711711217	6652.129717	11034.66846	5736.862758	9641.336177	255.4191339	284.0725898	222.3559543	384.1192585	1528.800614	902.8632663	2807.793982	1996.59446	53.88430793	24.99070598	89.44507463	53.29665876	76.54013551	16.93566338	2736.067363	4493.443114	6461.10526	25.97232329	3.631304959	6.99045057	8605.773292	12496.15651	8393.864214	7818.587481	13815.23942	6.899919252	13.39409304	5.911035728	11.64134019	112.7781617	143.3358065	103.4937247	60.40184966	1309.625838	694.1101483	1402.670693	804.92431	2360.834443	1752.001265	2024.103532	1954.240072	2730.397598	2463.96965	1467.458231	4.431003191	12.24970778	134.3975775	110.7265921	13.08922712	7.004240303	10.88256341	34.70209129	62.77579116	23.85851589	26.56728322	12.16657457	19.22389028	263.9984077	170.2191144	145.2282526	455.6485225	673.8609475	943.894262	4910.527323	2324.392653	791.5621683	24934.71264	2017.644903	13507.44771	23077.86712	12788.00025	6.580879739	14.16246813	19.21779309	6.816718827	5.002488066	10.78630855	7.816849624	4.845129366	1555.478745	2109.645318	102.706932	95.5572043	218.6900708	154.2652918	49.13791699	89.18981581	92.23124235	151.5967537	41.15538747	72.97266798	23.08216972	9711.832932	31299.53751	35825.61386	36702.54729	36307.6886	29554.32761	25250.81925	19906.3636	23509.6652	26856.50144
