strain,sample,time,dose,gene_symbol,gene_expression
HW,HW1,1.5,0,Ahrr,13.04093001
HW,HW1,1.5,0,Aldh3a1,5.216372003
HW,HW1,1.5,0,Bbs2,33.90641802
HW,HW1,1.5,0,Ccbl1,237.3449262
HW,HW1,1.5,0,Cxcr7,23.47367402
HW,HW1,1.5,0,Col18a1,1694.016808
HW,HW2,1.5,0,Ahrr,1.42209143
HW,HW2,1.5,0,Aldh3a1,8.532548583
HW,HW2,1.5,0,Bbs2,45.50692578
HW,HW2,1.5,0,Ccbl1,243.1776346
HW,HW2,1.5,0,Cxcr7,27.01973718
HW,HW2,1.5,0,Col18a1,1918.40134
HW,HW3,1.5,0,Ahrr,1.289200497
HW,HW3,1.5,0,Aldh3a1,7.73520298
HW,HW3,1.5,0,Bbs2,32.23001242
HW,HW3,1.5,0,Ccbl1,175.3312676
HW,HW3,1.5,0,Cxcr7,15.47040596
HW,HW3,1.5,0,Col18a1,917.9107537
HW,HW4,1.5,100,Ahrr,9.963823967
HW,HW4,1.5,100,Aldh3a1,307.4551395
HW,HW4,1.5,100,Bbs2,69.74676777
HW,HW4,1.5,100,Ccbl1,276.1402642
HW,HW4,1.5,100,Cxcr7,68.32336434
HW,HW4,1.5,100,Col18a1,2368.543297
HW,HW5,1.5,100,Ahrr,7.552195934
HW,HW5,1.5,100,Aldh3a1,65.45236477
HW,HW5,1.5,100,Bbs2,52.86537154
HW,HW5,1.5,100,Ccbl1,318.4509286
HW,HW5,1.5,100,Cxcr7,33.98488171
HW,HW5,1.5,100,Col18a1,1679.104896
HW,HW6,1.5,100,Ahrr,5.450164361
HW,HW6,1.5,100,Aldh3a1,81.75246541
HW,HW6,1.5,100,Bbs2,47.96144637
HW,HW6,1.5,100,Ccbl1,244.1673634
HW,HW6,1.5,100,Cxcr7,40.33121627
HW,HW6,1.5,100,Col18a1,2396.982286
HW,WW45,3,100,Ahrr,18.1143977
HW,WW45,3,100,Aldh3a1,2929.356885
HW,WW45,3,100,Bbs2,62.10650639
HW,WW45,3,100,Ccbl1,565.4279853
HW,WW45,3,100,Cxcr7,37.52268095
HW,WW45,3,100,Col18a1,1326.232689
HW,WW46,3,100,Ahrr,22.44146465
HW,WW46,3,100,Aldh3a1,1111.974573
HW,WW46,3,100,Bbs2,74.05683333
HW,WW46,3,100,Ccbl1,524.0081995
HW,WW46,3,100,Cxcr7,41.5167096
HW,WW46,3,100,Col18a1,1151.247136
HW,WW47,3,100,Ahrr,28.86779083
HW,WW47,3,100,Aldh3a1,2281.550917
HW,WW47,3,100,Bbs2,52.75837635
HW,WW47,3,100,Ccbl1,654.0047785
HW,WW47,3,100,Cxcr7,74.65807974
HW,WW47,3,100,Col18a1,1784.825826
HW,WW48,3,100,Ahrr,7.685034331
HW,WW48,3,100,Aldh3a1,2878.045357
HW,WW48,3,100,Bbs2,42.26768882
HW,WW48,3,100,Ccbl1,524.5035931
HW,WW48,3,100,Cxcr7,47.07083528
HW,WW48,3,100,Col18a1,994.2513166
HW,WW41,6,100,Ahrr,29.70155111
HW,WW41,6,100,Aldh3a1,4193.714131
HW,WW41,6,100,Bbs2,90.55350948
HW,WW41,6,100,Ccbl1,841.7854241
HW,WW41,6,100,Cxcr7,42.0168284
HW,WW41,6,100,Col18a1,2149.378101
HW,WW42,6,100,Ahrr,30.18524424
HW,WW42,6,100,Aldh3a1,6712.369704
HW,WW42,6,100,Bbs2,73.39157423
HW,WW42,6,100,Ccbl1,703.730498
HW,WW42,6,100,Cxcr7,34.32831698
HW,WW42,6,100,Col18a1,1551.284807
HW,WW43,6,100,Ahrr,18.13679036
HW,WW43,6,100,Aldh3a1,3657.586056
HW,WW43,6,100,Bbs2,57.86499782
HW,WW43,6,100,Ccbl1,943.9767555
HW,WW43,6,100,Cxcr7,37.13723741
HW,WW43,6,100,Col18a1,1779.996426
HW,WW44,6,100,Ahrr,26.64528285
HW,WW44,6,100,Aldh3a1,3640.811448
HW,WW44,6,100,Bbs2,99.12045219
HW,WW44,6,100,Ccbl1,1086.061729
HW,WW44,6,100,Cxcr7,31.97433942
HW,WW44,6,100,Col18a1,2235.006325
HW,WW37,10,100,Ahrr,55.67742297
HW,WW37,10,100,Aldh3a1,12074.67481
HW,WW37,10,100,Bbs2,190.4753944
HW,WW37,10,100,Ccbl1,1695.23101
HW,WW37,10,100,Cxcr7,39.56027422
HW,WW37,10,100,Col18a1,3226.360142
HW,WW38,10,100,Ahrr,38.5491127
HW,WW38,10,100,Aldh3a1,6707.54561
HW,WW38,10,100,Bbs2,139.5743736
HW,WW38,10,100,Ccbl1,1635.01409
HW,WW38,10,100,Cxcr7,41.2076722
HW,WW38,10,100,Col18a1,2411.313463
HW,WW39,10,100,Ahrr,24.33998335
HW,WW39,10,100,Aldh3a1,11279.14828
HW,WW39,10,100,Bbs2,129.0019117
HW,WW39,10,100,Ccbl1,1053.921279
HW,WW39,10,100,Cxcr7,47.46296753
HW,WW39,10,100,Col18a1,2401.139357
HW,WW40,10,100,Ahrr,31.24949264
HW,WW40,10,100,Aldh3a1,10186.21855
HW,WW40,10,100,Bbs2,123.8819172
HW,WW40,10,100,Ccbl1,1056.902483
HW,WW40,10,100,Cxcr7,41.29397241
HW,WW40,10,100,Col18a1,2696.384793
HW,WW1,19,0,Ahrr,8.63938793
HW,WW1,19,0,Aldh3a1,6.911510344
HW,WW1,19,0,Bbs2,48.38057241
HW,WW1,19,0,Ccbl1,396.547906
HW,WW1,19,0,Cxcr7,24.1902862
HW,WW1,19,0,Col18a1,3022.057898
HW,WW2,19,0,Ahrr,6.774993069
HW,WW2,19,0,Aldh3a1,9.854535374
HW,WW2,19,0,Bbs2,36.95450765
HW,WW2,19,0,Ccbl1,396.6450488
HW,WW2,19,0,Cxcr7,24.63633843
HW,WW2,19,0,Col18a1,2354.618046
HW,WW3,19,0,Ahrr,2.845421363
HW,WW3,19,0,Aldh3a1,3.79389515
HW,WW3,19,0,Bbs2,48.37216317
HW,WW3,19,0,Ccbl1,294.0268741
HW,WW3,19,0,Cxcr7,18.02100196
HW,WW3,19,0,Col18a1,2219.428663
HW,WW4,19,0,Ahrr,8.779915746
HW,WW4,19,0,Aldh3a1,7.023932597
