strain,sample,time,dose,GENE_SYMBOL,gene_expression
HW,HW1,1.5,0,Ahrr,13.04093001
HW,HW1,1.5,0,Aldh3a1,5.216372003
HW,HW1,1.5,0,Bbs2,33.90641802
HW,HW1,1.5,0,Ccbl1,237.3449262
HW,HW1,1.5,0,Cxcr7,23.47367402
HW,HW1,1.5,0,Col18a1,1694.016808
HW,HW1,1.5,0,Cyb5a,23772.31131
HW,HW1,1.5,0,Cyp1a1,18.25730201
HW,HW1,1.5,0,Cyp1a2,39811.35113
HW,HW1,1.5,0,Cyp1b1,6.520465004
HW,HW2,1.5,0,Ahrr,1.42209143
HW,HW2,1.5,0,Aldh3a1,8.532548583
HW,HW2,1.5,0,Bbs2,45.50692578
HW,HW2,1.5,0,Ccbl1,243.1776346
HW,HW2,1.5,0,Cxcr7,27.01973718
HW,HW2,1.5,0,Col18a1,1918.40134
HW,HW2,1.5,0,Cyb5a,26786.51418
HW,HW2,1.5,0,Cyp1a1,68.26038866
HW,HW2,1.5,0,Cyp1a2,45367.56081
HW,HW2,1.5,0,Cyp1b1,12.79882287
HW,HW3,1.5,0,Ahrr,1.289200497
HW,HW3,1.5,0,Aldh3a1,7.73520298
HW,HW3,1.5,0,Bbs2,32.23001242
HW,HW3,1.5,0,Ccbl1,175.3312676
HW,HW3,1.5,0,Cxcr7,15.47040596
HW,HW3,1.5,0,Col18a1,917.9107537
HW,HW3,1.5,0,Cyb5a,23226.23615
HW,HW3,1.5,0,Cyp1a1,32.23001242
HW,HW3,1.5,0,Cyp1a2,21537.3835
HW,HW3,1.5,0,Cyp1b1,3.86760149
HW,HW4,1.5,100,Ahrr,9.963823967
HW,HW4,1.5,100,Aldh3a1,307.4551395
HW,HW4,1.5,100,Bbs2,69.74676777
HW,HW4,1.5,100,Ccbl1,276.1402642
HW,HW4,1.5,100,Cxcr7,68.32336434
HW,HW4,1.5,100,Col18a1,2368.543297
HW,HW4,1.5,100,Cyb5a,31307.75831
HW,HW4,1.5,100,Cyp1a1,9945.319722
HW,HW4,1.5,100,Cyp1a2,101827.4341
HW,HW4,1.5,100,Cyp1b1,18.50424451
HW,HW5,1.5,100,Ahrr,7.552195934
HW,HW5,1.5,100,Aldh3a1,65.45236477
HW,HW5,1.5,100,Bbs2,52.86537154
HW,HW5,1.5,100,Ccbl1,318.4509286
HW,HW5,1.5,100,Cxcr7,33.98488171
HW,HW5,1.5,100,Col18a1,1679.104896
HW,HW5,1.5,100,Cyb5a,27014.20486
HW,HW5,1.5,100,Cyp1a1,6885.085294
HW,HW5,1.5,100,Cyp1a2,67209.50902
HW,HW5,1.5,100,Cyp1b1,2.517398645
HW,HW6,1.5,100,Ahrr,5.450164361
HW,HW6,1.5,100,Aldh3a1,81.75246541
HW,HW6,1.5,100,Bbs2,47.96144637
HW,HW6,1.5,100,Ccbl1,244.1673634
HW,HW6,1.5,100,Cxcr7,40.33121627
HW,HW6,1.5,100,Col18a1,2396.982286
HW,HW6,1.5,100,Cyb5a,21968.52251
HW,HW6,1.5,100,Cyp1a1,7172.416299
HW,HW6,1.5,100,Cyp1a2,70516.40656
HW,HW6,1.5,100,Cyp1b1,9.810295849
HW,WW45,3,100,Ahrr,18.1143977
HW,WW45,3,100,Aldh3a1,2929.356885
HW,WW45,3,100,Bbs2,62.10650639
HW,WW45,3,100,Ccbl1,565.4279853
HW,WW45,3,100,Cxcr7,37.52268095
HW,WW45,3,100,Col18a1,1326.232689
HW,WW45,3,100,Cyb5a,20003.4706
HW,WW45,3,100,Cyp1a1,45112.61358
HW,WW45,3,100,Cyp1a2,135548.7441
HW,WW45,3,100,Cyp1b1,33.6410243
HW,WW46,3,100,Ahrr,22.44146465
HW,WW46,3,100,Aldh3a1,1111.974573
HW,WW46,3,100,Bbs2,74.05683333
HW,WW46,3,100,Ccbl1,524.0081995
HW,WW46,3,100,Cxcr7,41.5167096
HW,WW46,3,100,Col18a1,1151.247136
HW,WW46,3,100,Cyb5a,18895.71323
HW,WW46,3,100,Cyp1a1,29840.41554
HW,WW46,3,100,Cyp1a2,91325.54038
HW,WW46,3,100,Cyp1b1,33.66219697
HW,WW47,3,100,Ahrr,28.86779083
HW,WW47,3,100,Aldh3a1,2281.550917
HW,WW47,3,100,Bbs2,52.75837635
HW,WW47,3,100,Ccbl1,654.0047785
HW,WW47,3,100,Cxcr7,74.65807974
HW,WW47,3,100,Col18a1,1784.825826
HW,WW47,3,100,Cyb5a,18608.77523
HW,WW47,3,100,Cyp1a1,46126.74798
HW,WW47,3,100,Cyp1a2,141454.166
HW,WW47,3,100,Cyp1b1,56.7401406
HW,WW48,3,100,Ahrr,7.685034331
HW,WW48,3,100,Aldh3a1,2878.045357
HW,WW48,3,100,Bbs2,42.26768882
HW,WW48,3,100,Ccbl1,524.5035931
HW,WW48,3,100,Cxcr7,47.07083528
HW,WW48,3,100,Col18a1,994.2513166
HW,WW48,3,100,Cyb5a,15902.25729
HW,WW48,3,100,Cyp1a1,29702.65769
HW,WW48,3,100,Cyp1a2,89331.7997
HW,WW48,3,100,Cyp1b1,23.05510299
HW,WW41,6,100,Ahrr,29.70155111
HW,WW41,6,100,Aldh3a1,4193.714131
HW,WW41,6,100,Bbs2,90.55350948
HW,WW41,6,100,Ccbl1,841.7854241
HW,WW41,6,100,Cxcr7,42.0168284
HW,WW41,6,100,Col18a1,2149.378101
HW,WW41,6,100,Cyb5a,22039.27535
HW,WW41,6,100,Cyp1a1,79085.81304
HW,WW41,6,100,Cyp1a2,228664.9977
HW,WW41,6,100,Cyp1b1,53.60767761
HW,WW42,6,100,Ahrr,30.18524424
HW,WW42,6,100,Aldh3a1,6712.369704
HW,WW42,6,100,Bbs2,73.39157423
HW,WW42,6,100,Ccbl1,703.730498
HW,WW42,6,100,Cxcr7,34.32831698
HW,WW42,6,100,Col18a1,1551.284807
HW,WW42,6,100,Cyb5a,15650.7532
HW,WW42,6,100,Cyp1a1,62965.23574
HW,WW42,6,100,Cyp1a2,155278.815
HW,WW42,6,100,Cyp1b1,39.65512478
HW,WW43,6,100,Ahrr,18.13679036
HW,WW43,6,100,Aldh3a1,3657.586056
HW,WW43,6,100,Bbs2,57.86499782
HW,WW43,6,100,Ccbl1,943.9767555
