strain,sample,time,dose,Ahrr,Aldh3a1,Bbs2,Ccbl1,Cxcr7,Col18a1,Cyb5a,Cyp1a1,Cyp1a2,Cyp1b1,Cyp2a1,Cyp2s1,Eef1a1,Eml4,Exoc3,Fdft1,Fmo1,Gapdh,Gfer,Ghr,Glud1,Hagh,Hprt1,Hsd17b12,Ivns1abp,Lasp1,Uvrag,Inmt,Pbld,Mug1,Neu1,Nfe2l2,Nqo1,Nrbp2,Nudt4,Pde2a,Perp,Pgk1,Pmm1,Ppia,Psmb4,Pomp,Derl1,Ern1,Rpl13a,Scn4b,Sdc1,Sdha,Slco1a1,Srxn1,Tiparp,Tpm1,Ugt1a1,Zfp422
HW,HW1,1.5,0,13.04093001,5.216372003,33.90641802,237.3449262,23.47367402,1694.016808,23772.31131,18.25730201,39811.35113,6.520465004,4452.173505,9.128651006,35912.11306,290.8127392,203.4385081,1717.490482,1195.853282,21055.88559,451.2161783,5791.477017,17590.91049,2190.876241,698.9938485,1993.958198,1034.14575,396.4442723,431.6547833,432.9588763,2776.413999,34047.26007,172.1402761,787.6721725,326.0232502,6.520465004,728.9879875,273.8595302,1045.882587,3607.12124,69.11692905,18026.47755,1293.660257,3661.893146,807.2335675,297.3332042,620.7482684,15.64911601,1855.72434,1724.010947,1240.192444,74.33330105,198.2221361,15.64911601,1996.566384,333.8478082
HW,HW2,1.5,0,1.42209143,8.532548583,45.50692578,243.1776346,27.01973718,1918.40134,26786.51418,68.26038866,45367.56081,12.79882287,5301.556853,12.79882287,41479.56284,389.6530519,237.4892689,1850.140951,1834.497945,21243.20179,523.3296464,5567.48795,24040.45563,2188.598711,755.1305496,2127.44878,1653.892334,447.9588006,489.1994521,757.9747324,3696.015628,35964.69228,233.2229946,1231.531179,575.9470293,18.4871886,1093.58831,359.7891319,1275.616013,3182.640621,98.1243087,20203.65295,1238.641636,3994.654828,846.1444011,314.2822061,571.6807551,11.37673144,1749.172459,1784.724745,1481.819271,92.43594298,287.262469,21.33137146,3344.759044,282.9961947
HW,HW3,1.5,0,1.289200497,7.73520298,32.23001242,175.3312676,15.47040596,917.9107537,23226.23615,32.23001242,21537.3835,3.86760149,3774.779054,2.578400993,38562.56526,226.8992874,177.9096685,1165.437249,934.6703601,12640.61087,479.5825848,4687.533006,12665.10568,2257.39007,698.7466692,1516.099784,1062.301209,293.9377133,498.9205922,639.4434464,3261.677257,11994.72142,162.4392626,589.164627,74.77362881,10.31360397,984.9491795,215.296483,1015.889991,2675.091031,47.70041838,20121.84135,1576.692207,4786.801444,663.9382558,216.5856834,957.8759691,11.60280447,941.1163626,1242.789279,778.6771,76.06282931,212.718082,20.62720795,1281.465294,223.0316859
HW,HW4,1.5,100,9.963823967,307.4551395,69.74676777,276.1402642,68.32336434,2368.543297,31307.75831,9945.319722,101827.4341,18.50424451,5992.528414,14.23403424,49928.7219,540.893301,303.1849293,2670.304823,1958.603111,24791.41743,583.5954038,7583.893442,25009.19816,2983.453576,997.8058001,2426.902838,1823.379786,526.6592668,599.2528414,1014.886641,5038.84812,37725.88434,269.0232471,2041.16051,599.2528414,7.117017119,1138.722739,385.7423278,1271.099257,3995.493411,150.8807629,21883.40424,1464.682123,4705.771719,1138.722739,382.895521,789.9889002,19.92764793,1669.652216,2397.011366,1497.420402,145.1871492,2100.943454,19.92764793,4018.267865,350.1572423
HW,HW5,1.5,100,7.552195934,65.45236477,52.86537154,318.4509286,33.98488171,1679.104896,27014.20486,6885.085294,67209.50902,2.517398645,4625.72001,12.58699322,44667.46285,519.8428202,269.361655,2235.449997,1827.631416,20074.99549,620.5387659,4580.406834,19449.42193,2827.038678,1022.06385,1558.269761,1354.360471,400.2663845,555.0864012,791.7218738,4754.107341,24223.66846,221.5310807,1640.085217,137.1982261,12.58699322,1003.18336,405.3011818,1156.744677,3341.846701,101.9546451,21348.79921,1684.139693,4863.614182,819.4132589,346.1423137,1350.584373,10.06959458,1086.257515,1966.088342,1004.442059,114.5416383,1319.11689,25.17398645,2234.191297,294.5356414
HW,HW6,1.5,100,5.450164361,81.75246541,47.96144637,244.1673634,40.33121627,2396.982286,21968.52251,7172.416299,70516.40656,9.810295849,4944.389108,10.90032872,40550.31288,457.8138063,258.3377907,2183.335843,1619.788848,21062.70519,458.9038392,5154.765452,19451.6366,2362.101234,771.7432735,2050.351832,1127.09399,456.7237734,469.8041679,618.0486385,4271.838826,36785.33934,282.3185139,1497.705166,449.0935433,6.540197233,1119.46376,377.1513738,1152.164746,3429.243416,88.29266264,17689.05345,1504.245364,3533.886571,942.8784344,398.9520312,965.7691247,16.35049308,1455.193884,2037.271438,1121.643825,89.38269552,1409.412504,25.07075606,2527.78623,239.8072319
HW,WW45,3,100,18.1143977,2929.356885,62.10650639,565.4279853,37.52268095,1326.232689,20003.4706,45112.61358,135548.7441,33.6410243,3599.5896,12.9388555,36099.40684,1434.919075,341.5857852,1553.956545,921.2465115,18776.8671,552.4891298,4726.563914,14419.06057,1768.741547,696.1104258,2300.528508,1447.85793,266.5404233,520.1419911,204.4339169,4676.102377,16498.33465,274.3037366,3714.745414,2449.325346,14.23274105,934.185367,490.3826234,1072.631121,2929.356885,232.899399,18868.73297,1367.637026,3915.297674,903.1321138,251.0137967,1040.283982,14.23274105,641.7672327,1485.380611,760.8047033,333.8224719,1451.739587,28.4654821,1691.108414,412.7494904
HW,WW46,3,100,22.44146465,1111.974573,74.05683333,524.0081995,41.5167096,1151.247136,18895.71323,29840.41554,91325.54038,33.66219697,3323.580914,7.854512626,32733.12033,1028.941154,232.2691591,1055.870912,1031.185301,14705.89178,460.0500253,3360.609331,12290.06811,2037.68499,756.2773586,1664.034604,951.518101,315.3025783,425.2657551,663.1452803,3764.555694,10878.49999,213.1939141,3434.666164,1439.619957,17.95317172,820.2355328,409.5567298,879.7054141,2291.27354,188.508303,15429.62902,1421.666785,3558.09422,711.3944293,218.8042803,1420.544712,7.854512626,599.1871061,1280.285558,564.4028359,289.4948939,2468.561111,35.90634343,1588.855697,307.4480657
HW,WW47,3,100,28.86779083,2281.550917,52.75837635,654.0047785,74.65807974,1784.825826,18608.77523,46126.74798,141454.166,56.7401406,3868.283971,13.93617488,36532.68702,1474.248215,340.4408436,1438.412336,797.3482916,22902.11254,486.7706799,4856.756947,13893.37092,1936.132868,848.1157858,2568.237943,1130.821048,360.3496649,495.7296494,161.2614522,3868.283971,24599.33955,329.4909919,3846.384268,1784.825826,13.93617488,780.4257935,421.0715697,1035.258706,3411.376523,249.8557068,16809.01779,1452.348511,3111.748763,1100.957816,296.6414368,1546.915412,13.93617488,1091.003405,1971.968746,1011.36812,202.0745358,1571.801439,42.80396572,2208.883719,438.9895088
HW,WW48,3,100,7.685034331,2878.045357,42.26768882,524.5035931,47.07083528,994.2513166,15902.25729,29702.65769,89331.7997,23.05510299,2659.982508,4.803146457,26659.3841,902.9915339,237.275435,697.4168656,927.0072662,15110.69875,388.0942337,3417.919019,10798.43386,1924.140471,713.7475635,1940.471169,767.5428038,197.889634,375.6060529,195.9683754,3082.659396,15080.91925,221.9053663,3694.580255,1197.904726,10.56692221,687.8105726,274.7399773,721.4325978,2752.20292,157.5432038,14165.43953,1301.65269,2859.793401,708.9444171,142.1731351,1151.79452,15.37006866,609.0389708,1230.566122,755.054623,223.8266249,1917.416066,29.77950803,1715.683914,246.8817279
